player_id,name,position,team,rank_value,bye,status
3294,Dak Prescott,QB,DAL,116.0,0,Active
11589,Trey Benson,RB,ARI,117.0,0,Active
8131,Isaiah Likely,TE,BAL,118.0,0,Active
12498,Mason Taylor,TE,NYJ,119.0,0,Active
2449,Stefon Diggs,WR,NE,120.0,0,Active
3163,Jared Goff,QB,DET,121.0,0,Active
12490,Bhayshul Tuten,RB,JAC,122.0,0,Active
9229,Anthony Richardson Sr.,QB,IND,123.0,0,Active
12521,Elijah Arroyo,TE,SEA,124.0,0,Active
7090,Darnell Mooney,WR,ATL,125.0,0,Active
12533,Jacory Croskey-Merritt,RB,WAS,126.0,0,Active
8110,Jake Ferguson,TE,DAL,127.0,0,Active
8228,Jaylen Warren,RB,PIT,128.0,0,Active
9502,Tank Dell,WR,HOU,129.0,0,Active
8676,Rashid Shaheed,WR,NO,130.0,0,Active
12522,Cam Ward,QB,TEN,131.0,0,Active
9494,Marvin Mims Jr.,WR,DEN,132.0,0,Active
8408,Jordan Mason,RB,MIN,133.0,0,Active
5022,Dallas Goedert,TE,PHI,134.0,0,Active
4018,Joe Mixon,RB,HOU,135.0,0,Active
11559,Michael Penix Jr.,QB,ATL,136.0,0,Active
10444,Cedric Tillman,WR,CLE,137.0,0,Active
12487,Terrance Ferguson,TE,LAR,138.0,0,Active
12483,Jack Bech,WR,LV,139.0,0,Active
12536,Jaylin Noel,WR,HOU,140.0,0,Active
4039,Cooper Kupp,WR,SEA,141.0,0,Active
638,Kyle Williams,WR,NE,142.0,0,Active
638,Kyle Williams,WR,NE,142.0,0,Active
7591,Justin Fields,QB,NYJ,143.5,0,Active
7528,Najee Harris,RB,LAC,143.5,0,Active
7571,Rashod Bateman,WR,BAL,145.0,0,Active
7611,Rhamondre Stevenson,RB,NE,146.0,0,Active
11576,Braelon Allen,RB,NYJ,147.5,0,Active
9228,Bryce Young,QB,CAR,147.5,0,Active
9225,Tank Bigsby,RB,JAC,149.5,0,Active
11583,Jonathon Brooks,RB,CAR,149.5,0,Active
11618,Jalen McMillan,WR,TB,151.0,0,Active
4950,Christian Kirk,WR,HOU,152.0,0,Active
11626,Xavier Legette,WR,CAR,153.0,0,Active
9480,Brenton Strange,TE,JAC,154.0,0,Active
7588,Javonte Williams,RB,DAL,155.0,0,Active
6768,Tua Tagovailoa,QB,MIA,156.0,0,Active
12508,Jaxson Dart,QB,NYG,157.0,0,Active
8121,Romeo Doubs,WR,GB,158.0,0,Active
8136,Rachaad White,RB,TB,159.0,0,Active
12457,Jaydon Blue,RB,DAL,160.0,0,Active
12499,Elic Ayomanor,WR,TEN,161.0,0,Active
12506,Harold Fannin Jr.,TE,CLE,162.0,0,Active
12469,Dylan Sampson,RB,CLE,163.0,0,Active
11646,Jalen Coker,WR,CAR,164.0,0,Active
1684,Marquise Brown,WR,KC,165.0,0,Active
8154,Brian Robinson Jr.,RB,SF,166.0,0,Active
4144,Jonnu Smith,TE,PIT,167.5,0,Active
12535,Isaac TeSlaa,WR,DET,167.5,0,Active
9508,Tyjae Spears,RB,TEN,169.0,0,Active
8126,Wan'Dale Robinson,WR,NYG,170.0,0,Active
6806,J.K. Dobbins,RB,DEN,171.0,0,Active
4943,Sam Darnold,QB,SEA,172.0,0,Active
9754,Quentin Johnston,WR,LAC,173.0,0,Active
7670,Joshua Palmer,WR,BUF,174.0,0,Active
12497,Tory Horton,WR,SEA,175.5,0,Active
3214,Hunter Henry,TE,NE,175.5,0,Active
11575,Ray Davis,RB,BUF,177.0,0,Active
9501,DeMario Douglas,WR,NE,178.0,0,Active
7600,Pat Freiermuth,TE,PIT,179.0,0,Active
12505,Jalen Royals,WR,KC,180.0,0,Active
12492,Pat Bryant,WR,DEN,181.0,0,Active
8111,Cade Otton,TE,TB,182.0,0,Active
11625,Adonai Mitchell,WR,IND,183.0,0,Active
8167,Christian Watson,WR,GB,184.0,0,Active
11627,Troy Franklin,WR,DEN,185.0,0,Active
11643,Jaylen Wright,RB,MIA,186.0,0,Active
421,Matthew Stafford,QB,LAR,187.0,0,Active
1373,Geno Smith,QB,LV,188.0,0,Active
11600,Ja'Tavion Sanders,TE,CAR,189.0,0,Active
